day,time_start,time_end,origin_code,origin_sta_code,destination_code,destination_sta_code,load
weekday,09:00,10:00,6200,311,6200,423,310
weekday,09:00,10:00,6200,423,6200,311,308
weekday,09:00,10:00,6200,513,6200,512,306
weekday,09:00,10:00,5000,831,5000,831,304
weekday,09:00,10:00,6200,321,6200,315,303
weekday,09:00,10:00,6200,213,6200,215,302
weekday,09:00,10:00,6200,222,6200,314,302
weekday,09:00,10:00,5000,929,5000,929,301
weekday,09:00,10:00,6200,226,8300,613,301
weekday,09:00,10:00,6200,512,6200,514,300
weekday,09:00,10:00,6200,322,6200,411,294
weekday,09:00,10:00,6200,228,6200,217,294
weekday,09:00,10:00,5000,312,5000,312,292
weekday,09:00,10:00,6200,214,6200,212,289
weekday,09:00,10:00,6200,512,6200,511,286
weekday,09:00,10:00,8600,113,8600,113,285
weekday,09:00,10:00,6200,315,6200,321,285
weekday,09:00,10:00,6200,212,6200,114,285
weekday,09:00,10:00,5000,542,5000,542,284
weekday,09:00,10:00,5000,814,5000,814,283
weekday,09:00,10:00,6200,422,6200,423,281
weekday,09:00,10:00,6200,511,6200,512,281
weekday,09:00,10:00,6200,321,6200,316,279
weekday,09:00,10:00,6200,421,6200,423,279
weekday,09:00,10:00,8300,613,6200,226,277
weekday,09:00,10:00,6200,212,6200,115,276
weekday,09:00,10:00,6200,421,6600,613,276
weekday,09:00,10:00,6200,321,6200,113,276
weekday,09:00,10:00,6600,225,6600,225,275
weekday,09:00,10:00,6200,512,6200,513,275
weekday,09:00,10:00,6600,211,6600,211,273
weekday,09:00,10:00,466,1,466,1,272
weekday,09:00,10:00,70,112,70,112,271
weekday,09:00,10:00,5000,923,5000,923,270
weekday,09:00,10:00,6600,113,6600,114,269
weekday,09:00,10:00,6200,223,6200,222,269
weekday,09:00,10:00,5000,136,5000,136,269
weekday,09:00,10:00,6200,114,6200,212,268
weekday,09:00,10:00,6200,316,6200,321,268
weekday,09:00,10:00,6200,521,6200,523,268
weekday,09:00,10:00,6600,611,6600,611,268
weekday,09:00,10:00,6200,115,6200,212,266
weekday,09:00,10:00,6200,313,6200,315,264
weekday,09:00,10:00,6200,423,6200,422,264
weekday,09:00,10:00,6200,115,6200,111,263
weekday,09:00,10:00,6600,114,6600,113,262
weekday,09:00,10:00,5000,732,5000,732,261
weekday,09:00,10:00,6600,112,6600,111,260
weekday,09:00,10:00,6200,315,6200,313,258
weekday,09:00,10:00,6200,423,6200,421,258
weekday,09:00,10:00,6600,416,6600,416,257
weekday,09:00,10:00,6200,316,6200,315,257
weekday,09:00,10:00,6200,222,6200,223,255
weekday,09:00,10:00,6600,427,6600,427,254
weekday,09:00,10:00,6200,212,6200,214,254
weekday,09:00,10:00,6200,111,6200,115,253
weekday,09:00,10:00,6200,523,6200,521,252
weekday,09:00,10:00,798,1,798,1,252
weekday,09:00,10:00,6900,14,6900,14,250
weekday,09:00,10:00,6600,613,6200,421,247
weekday,09:00,10:00,7200,10,7200,10,247
weekday,09:00,10:00,5000,214,5000,214,245
weekday,09:00,10:00,6200,311,6200,313,244
weekday,09:00,10:00,6200,311,6200,228,242
weekday,09:00,10:00,6200,413,6200,423,240
weekday,09:00,10:00,6200,315,6200,312,236
weekday,09:00,10:00,6200,522,6200,512,235
weekday,09:00,10:00,6200,315,6200,316,235
weekday,09:00,10:00,5000,626,5000,613,234
weekday,09:00,10:00,22,1,22,1,233
weekday,09:00,10:00,8300,622,6200,228,233
weekday,09:00,10:00,6600,426,6600,426,232
weekday,09:00,10:00,6200,214,6200,222,231
weekday,09:00,10:00,6200,228,8300,621,231
weekday,09:00,10:00,6600,513,6200,523,231
weekday,09:00,10:00,6200,422,6200,413,230
weekday,09:00,10:00,6200,217,6200,114,229
weekday,09:00,10:00,6200,423,6200,413,228
weekday,09:00,10:00,6200,413,6600,626,227
weekday,09:00,10:00,5000,324,5000,324,226
weekday,09:00,10:00,6200,316,6200,322,225
weekday,09:00,10:00,5000,541,5000,541,223
weekday,09:00,10:00,6200,312,6200,315,222
weekday,09:00,10:00,6200,228,8300,622,221
weekday,09:00,10:00,8600,418,8600,418,220
weekday,09:00,10:00,6200,315,6200,114,220
